episode,game,exploration,explored,safe,MA_explored,MA_safe
58,[58]_concat sin + base: 100+67sin((2pi/132)t)+0e,55.3,-28.3,-4.1,-28.3,12.3
59,[59]_concat sin + base: 100+59sin((2pi/130)t)+0e,54.7,-16.5,5.9,-28.2,12.3
60,[60]_concat sin + base: 100+52sin((2pi/106)t)+0e,54.2,-31.7,-1.4,-28.3,12.3
61,[61]_concat sin + base: 100+66sin((2pi/93)t)+0e,53.6,-48.7,-2.7,-28.5,11.6
62,[62]_concat sin + base: 100+39sin((2pi/88)t)+0e,53.1,-10.6,13.8,-28.3,12.3
63,[63]_concat sin + base: 100+40sin((2pi/124)t)+0e,52.6,-10.2,32.9,-28.2,12.3
64,[64]_concat sin + base: 100+55sin((2pi/118)t)+0e,52.0,-26.4,3.3,-28.0,12.3
65,[65]_concat sin + base: 100+67sin((2pi/140)t)+0e,51.5,-36.3,14.7,-28.2,12.3
66,[66]_concat sin + base: 100+66sin((2pi/131)t)+0e,51.0,-48.3,-16.7,-28.3,12.3
67,[67]_concat sin + base: 100+27sin((2pi/104)t)+0e,50.5,-13.5,-1.9,-28.2,11.6
68,[68]_concat sin + base: 100+51sin((2pi/105)t)+0e,50.0,-14.2,16.7,-28.0,12.3
69,[69]_concat sin + base: 100+73sin((2pi/87)t)+0e,49.5,-12.7,24.8,-27.6,12.3
70,[70]_concat sin + base: 100+24sin((2pi/103)t)+0e,49.0,-17.3,14.0,-27.1,12.3
71,[71]_concat sin + base: 100+22sin((2pi/123)t)+0e,48.5,-19.8,27.3,-27.1,12.4
72,[72]_concat sin + base: 100+44sin((2pi/110)t)+0e,48.0,-0.6,11.6,-27.1,12.3
73,[73]_concat sin + base: 100+59sin((2pi/123)t)+0e,47.5,-26.4,30.6,-27.1,12.4
74,[74]_concat sin + base: 100+57sin((2pi/149)t)+0e,47.1,-8.8,14.0,-27.1,12.4
75,[75]_concat sin + base: 100+58sin((2pi/119)t)+0e,46.6,-16.7,13.3,-27.0,12.6
76,[76]_concat sin + base: 100+43sin((2pi/122)t)+0e,46.1,-6.1,-0.8,-27.0,12.4
77,[77]_concat sin + base: 100+78sin((2pi/126)t)+0e,45.7,-17.7,2.2,-26.7,12.4
78,[78]_concat sin + base: 100+55sin((2pi/87)t)+0e,45.2,3.0,34.7,-26.4,12.4
79,[79]_concat sin + base: 100+35sin((2pi/115)t)+0e,44.8,-18.3,8.4,-26.4,12.4
80,[80]_concat sin + base: 100+48sin((2pi/121)t)+0e,44.3,1.7,32.8,-26.4,12.4
81,[81]_concat sin + base: 100+40sin((2pi/134)t)+0e,43.9,-20.3,9.8,-26.2,12.4
82,[82]_concat sin + base: 100+51sin((2pi/153)t)+0e,43.4,-13.7,12.2,-26.1,12.3
83,[83]_concat sin + base: 100+54sin((2pi/144)t)+0e,43.0,-4.9,23.4,-26.0,12.4
84,[84]_concat sin + base: 100+23sin((2pi/107)t)+0e,42.6,-31.8,-4.7,-26.1,12.3
85,[85]_concat sin + base: 100+76sin((2pi/93)t)+0e,42.1,7.9,35.4,-26.0,12.4
86,[86]_concat sin + base: 100+55sin((2pi/80)t)+0e,41.7,-7.5,0.4,-25.8,12.3
87,[87]_concat sin + base: 100+75sin((2pi/144)t)+0e,41.3,16.1,18.8,-25.4,12.4
88,[88]_concat sin + base: 100+76sin((2pi/130)t)+0e,40.9,-27.2,-2.6,-25.8,12.3
89,[89]_concat sin + base: 100+68sin((2pi/92)t)+0e,40.5,-11.1,-10.4,-25.4,12.3
90,[90]_concat sin + base: 100+28sin((2pi/112)t)+0e,40.1,-14.1,18.1,-25.0,12.3
91,[91]_concat sin + base: 100+49sin((2pi/80)t)+0e,39.7,7.6,25.4,-24.7,12.4
92,[92]_concat sin + base: 100+79sin((2pi/144)t)+0e,39.3,-1.9,10.0,-24.3,12.3
93,[93]_concat sin + base: 100+29sin((2pi/86)t)+0e,38.9,-41.1,8.0,-24.7,12.3
94,[94]_concat sin + base: 100+46sin((2pi/102)t)+0e,38.5,-30.6,1.9,-25.0,12.3
95,[95]_concat sin + base: 100+29sin((2pi/151)t)+0e,38.1,-0.7,13.7,-24.7,12.3
96,[96]_concat sin + base: 100+77sin((2pi/87)t)+0e,37.7,-12.4,6.5,-24.3,12.3
97,[97]_concat sin + base: 100+76sin((2pi/122)t)+0e,37.3,-10.6,20.3,-24.3,12.3
98,[98]_concat sin + base: 100+62sin((2pi/149)t)+0e,37.0,1.3,19.4,-24.2,12.3
99,[99]_concat sin + base: 100+34sin((2pi/81)t)+0e,36.6,-13.8,6.7,-24.2,12.3
100,[0]_concat sin + base: 100+50sin((2pi/88)t)+0e,36.2,2.0,33.5,-23.5,12.3
101,[1]_concat sin + base: 100+20sin((2pi/86)t)+0e,35.9,-11.1,25.0,-22.6,12.4
102,[2]_concat sin + base: 100+78sin((2pi/137)t)+0e,35.5,8.3,37.3,-21.8,12.6
103,[3]_concat sin + base: 100+58sin((2pi/85)t)+0e,35.2,17.8,51.7,-20.7,12.9
104,[4]_concat sin + base: 100+25sin((2pi/121)t)+0e,34.8,-14.6,32.6,-20.1,13.2
105,[5]_concat sin + base: 100+43sin((2pi/108)t)+0e,34.5,3.1,43.7,-19.8,13.2
