episode,game,exploration,explored,safe,MA_explored,MA_safe
69,['100+16sin((2pi/37)t)+0e'],10.1,-229.9,-218.6,-30.6,-35.6
70,['100+5sin((2pi/38)t)+0e'],10.1,-33.2,-15.8,-30.9,-35.5
71,['100+46sin((2pi/38)t)+0e'],10.1,-15.9,-8.2,-30.6,-35.4
72,['100+7sin((2pi/39)t)+0e'],10.1,-16.5,-37.4,-30.2,-35.5
73,['100+79sin((2pi/36)t)+0e'],10.0,-21.5,-18.6,-30.1,-35.4
74,['100+72sin((2pi/36)t)+0e'],10.0,-7.2,-32.4,-30.0,-35.3
75,['100+24sin((2pi/38)t)+0e'],10.0,-32.9,-27.4,-30.1,-35.2
76,['100+14sin((2pi/38)t)+0e'],10.0,-23.4,-38.1,-30.0,-35.3
77,['100+7sin((2pi/38)t)+0e'],10.0,-20.6,-16.1,-29.7,-35.2
78,['100+61sin((2pi/35)t)+0e'],10.0,-42.4,-32.4,-30.0,-35.1
79,['100+26sin((2pi/39)t)+0e'],10.0,-164.4,-177.1,-30.1,-35.2
80,['100+76sin((2pi/37)t)+0e'],10.0,-38.5,-34.8,-30.2,-35.1
81,['100+53sin((2pi/35)t)+0e'],10.0,-7.4,-21.0,-30.1,-35.0
82,['100+55sin((2pi/36)t)+0e'],10.0,-33.1,-28.1,-30.2,-35.0
83,['100+65sin((2pi/35)t)+0e'],10.0,-105.4,-103.5,-30.6,-35.0
84,['100+72sin((2pi/38)t)+0e'],10.0,-28.1,-17.6,-30.2,-35.0
85,['100+55sin((2pi/38)t)+0e'],10.0,-17.4,-16.6,-30.1,-34.9
86,['100+79sin((2pi/35)t)+0e'],10.0,-30.3,-23.3,-30.2,-34.8
87,['100+64sin((2pi/38)t)+0e'],10.0,-16.8,-10.4,-30.1,-34.7
88,['100+20sin((2pi/39)t)+0e'],10.0,-47.7,-49.8,-30.2,-34.8
89,['100+64sin((2pi/35)t)+0e'],10.0,-90.5,-99.1,-30.3,-34.9
90,['100+35sin((2pi/35)t)+0e'],10.0,-38.8,-22.6,-30.3,-34.8
91,['100+29sin((2pi/35)t)+0e'],10.0,-20.7,-34.3,-30.3,-34.7
92,['100+27sin((2pi/37)t)+0e'],10.0,-131.3,-119.2,-30.3,-34.8
93,['100+21sin((2pi/39)t)+0e'],10.0,-94.0,-99.7,-30.6,-34.9
94,['100+37sin((2pi/37)t)+0e'],10.0,-21.2,-38.5,-30.3,-35.0
95,['100+42sin((2pi/37)t)+0e'],10.0,-26.1,-24.7,-30.3,-34.9
96,['100+63sin((2pi/35)t)+0e'],10.0,-131.0,-134.2,-30.3,-35.0
97,['100+22sin((2pi/38)t)+0e'],10.0,0.8,-36.4,-30.3,-35.0
98,['100+10sin((2pi/36)t)+0e'],10.0,-44.1,-29.1,-30.3,-35.0
99,['100+33sin((2pi/35)t)+0e'],10.0,-21.2,-31.1,-30.3,-34.9
100,['100+36sin((2pi/36)t)+0e'],10.0,9.8,-33.7,-30.3,-34.7
101,['100+32sin((2pi/35)t)+0e'],10.0,-35.5,-46.9,-30.6,-34.9
102,['100+39sin((2pi/36)t)+0e'],10.0,-57.3,-57.7,-31.1,-35.0
103,['100+50sin((2pi/37)t)+0e'],10.0,-179.6,-222.6,-31.3,-35.0
104,['100+50sin((2pi/39)t)+0e'],10.0,-21.4,-9.7,-30.6,-34.9
105,['100+26sin((2pi/39)t)+0e'],10.0,-27.9,-36.6,-30.6,-35.0
106,['100+69sin((2pi/38)t)+0e'],10.0,-34.9,-21.2,-31.3,-35.0
107,['100+39sin((2pi/39)t)+0e'],10.0,-14.9,-40.6,-30.6,-35.0
108,['100+52sin((2pi/35)t)+0e'],10.0,-2.4,-24.8,-30.3,-34.9
109,['100+5sin((2pi/36)t)+0e'],10.0,-24.1,-24.7,-30.3,-34.9
110,['100+54sin((2pi/39)t)+0e'],10.0,-40.7,-29.8,-30.3,-34.9
111,['100+6sin((2pi/37)t)+0e'],10.0,-33.7,-33.5,-30.3,-34.7
112,['100+12sin((2pi/36)t)+0e'],10.0,-26.5,-14.7,-30.3,-34.7
113,['100+45sin((2pi/39)t)+0e'],10.0,-17.9,-10.3,-30.3,-34.5
114,['100+5sin((2pi/39)t)+0e'],10.0,-46.6,-73.4,-30.3,-34.5
115,['100+46sin((2pi/37)t)+0e'],10.0,-11.3,-48.9,-30.3,-34.7
116,['100+54sin((2pi/35)t)+0e'],10.0,-36.8,-54.6,-30.6,-34.9
117,['100+9sin((2pi/38)t)+0e'],10.0,-18.8,-16.4,-30.6,-34.9
118,['100+79sin((2pi/38)t)+0e'],10.0,-66.2,-71.6,-30.6,-34.9
119,['100+29sin((2pi/35)t)+0e'],10.0,-27.6,-23.1,-30.3,-34.7
120,['100+77sin((2pi/39)t)+0e'],10.0,-55.6,-33.9,-30.3,-34.5
121,['100+65sin((2pi/38)t)+0e'],10.0,-62.7,-63.3,-30.6,-34.5
122,['100+46sin((2pi/36)t)+0e'],10.0,-24.8,-26.2,-30.3,-34.4
123,['100+62sin((2pi/39)t)+0e'],10.0,-204.8,-207.9,-30.3,-34.4
124,['100+41sin((2pi/36)t)+0e'],10.0,-18.7,-21.2,-30.3,-34.4
