episode,game,exploration,explored,safe,MA_explored,MA_safe
0,['100+54sin((2pi/39)t)+0e'],80.0,-69.8,-18.2,-69.8,-18.2
1,['100+68sin((2pi/14)t)+0e'],73.3,2.0,-23.6,-33.9,-20.9
2,['100+52sin((2pi/28)t)+0e'],67.3,34.7,-29.4,2.0,-23.6
3,['100+68sin((2pi/13)t)+0e'],61.9,-26.8,-33.2,-12.4,-26.5
4,['100+46sin((2pi/32)t)+0e'],56.9,13.4,-24.6,2.0,-24.6
5,['100+59sin((2pi/35)t)+0e'],52.5,-45.0,-131.1,-12.4,-27.0
6,['100+6sin((2pi/18)t)+0e'],48.4,11.7,-40.2,2.0,-29.4
7,['100+48sin((2pi/18)t)+0e'],44.8,-7.4,-44.7,-2.7,-31.3
8,['100+66sin((2pi/34)t)+0e'],41.5,-27.4,-48.2,-7.4,-33.2
9,['100+9sin((2pi/24)t)+0e'],38.5,-13.9,-31.0,-10.6,-32.1
10,['100+36sin((2pi/11)t)+0e'],35.8,-39.4,-71.2,-13.9,-33.2
11,['100+57sin((2pi/38)t)+0e'],33.3,-26.4,-2.0,-20.1,-32.1
12,['100+33sin((2pi/14)t)+0e'],31.1,-28.5,-28.8,-26.4,-31.0
13,['100+5sin((2pi/32)t)+0e'],29.1,6.4,-3.2,-20.1,-30.2
14,['100+67sin((2pi/37)t)+0e'],27.3,-13.3,7.3,-13.9,-29.4
15,['100+19sin((2pi/22)t)+0e'],25.6,22.6,-6.8,-13.6,-29.1
16,['100+38sin((2pi/28)t)+0e'],24.1,-58.4,-26.2,-13.9,-28.8
17,['100+48sin((2pi/18)t)+0e'],22.8,17.9,-3.1,-13.6,-27.5
18,['100+18sin((2pi/14)t)+0e'],21.6,-17.7,-30.4,-13.9,-28.8
19,['100+16sin((2pi/17)t)+0e'],20.5,-1.1,-14.6,-13.6,-27.5
20,['100+28sin((2pi/20)t)+0e'],19.5,-36.7,-39.7,-13.9,-28.8
21,['100+61sin((2pi/37)t)+0e'],18.6,-10.7,-11.3,-13.6,-27.5
22,['100+12sin((2pi/21)t)+0e'],17.8,-42.3,-33.6,-13.9,-28.8
23,['100+56sin((2pi/28)t)+0e'],17.0,-70.1,-111.7,-15.8,-29.1
24,['100+12sin((2pi/11)t)+0e'],16.4,6.2,-22.3,-13.9,-28.8
25,['100+42sin((2pi/18)t)+0e'],15.7,-8.2,-11.2,-13.6,-27.5
26,['100+18sin((2pi/15)t)+0e'],15.2,-1.4,-14.3,-13.3,-26.2
27,['100+40sin((2pi/39)t)+0e'],14.7,-9.4,-20.9,-12.0,-25.4
28,['100+13sin((2pi/32)t)+0e'],14.3,0.5,-23.7,-10.7,-24.6
29,['100+65sin((2pi/38)t)+0e'],13.9,-110.4,-93.7,-12.0,-25.4
30,['100+27sin((2pi/26)t)+0e'],13.5,-26.3,-53.2,-13.3,-26.2
