episode,game,exploration,explored,safe,MA_explored,MA_safe
76,[76]_concat sin + base: 100+43sin((2pi/122)t)+0e,10.0,-1.8,4.6,-0.0,9.0
77,[77]_concat sin + base: 100+78sin((2pi/126)t)+0e,10.0,1.2,0.2,0.6,8.6
78,[78]_concat sin + base: 100+55sin((2pi/87)t)+0e,10.0,9.0,21.5,1.2,9.0
79,[79]_concat sin + base: 100+35sin((2pi/115)t)+0e,10.0,6.3,15.5,1.4,9.5
80,[80]_concat sin + base: 100+48sin((2pi/121)t)+0e,10.0,26.6,25.7,1.7,10.0
81,[81]_concat sin + base: 100+40sin((2pi/134)t)+0e,10.0,0.8,13.8,1.4,10.0
82,[82]_concat sin + base: 100+51sin((2pi/153)t)+0e,10.0,11.1,15.5,1.7,10.0
83,[83]_concat sin + base: 100+54sin((2pi/144)t)+0e,10.0,6.2,3.2,1.8,10.0
84,[84]_concat sin + base: 100+23sin((2pi/107)t)+0e,10.0,-23.6,-7.6,1.7,10.0
85,[85]_concat sin + base: 100+76sin((2pi/93)t)+0e,10.0,38.5,40.2,1.8,10.0
86,[86]_concat sin + base: 100+55sin((2pi/80)t)+0e,10.0,10.8,10.3,2.0,10.0
87,[87]_concat sin + base: 100+75sin((2pi/144)t)+0e,10.0,6.2,18.2,2.0,10.2
88,[88]_concat sin + base: 100+76sin((2pi/130)t)+0e,10.0,-5.8,-1.7,2.0,10.0
89,[89]_concat sin + base: 100+68sin((2pi/92)t)+0e,10.0,14.5,14.9,2.0,10.2
90,[90]_concat sin + base: 100+28sin((2pi/112)t)+0e,10.0,5.4,5.1,2.1,10.0
91,[91]_concat sin + base: 100+49sin((2pi/80)t)+0e,10.0,5.2,18.1,2.3,10.2
92,[92]_concat sin + base: 100+79sin((2pi/144)t)+0e,10.0,-3.9,34.2,2.1,10.3
93,[93]_concat sin + base: 100+29sin((2pi/86)t)+0e,10.0,14.2,7.9,2.3,10.2
94,[94]_concat sin + base: 100+46sin((2pi/102)t)+0e,10.0,-1.8,4.9,2.1,10.0
95,[95]_concat sin + base: 100+29sin((2pi/151)t)+0e,10.0,24.4,19.6,2.3,10.2
