episode,game,exploration,explored,safe,MA_explored,MA_safe
57,[57]_concat sin + base: 100+44sin((2pi/103)t)+0e,10.2,-10.0,-3.5,-9.3,1.6
58,[58]_concat sin + base: 100+67sin((2pi/132)t)+0e,10.2,19.0,18.9,-9.1,1.6
59,[59]_concat sin + base: 100+59sin((2pi/130)t)+0e,10.2,6.3,16.4,-7.1,1.9
60,[60]_concat sin + base: 100+52sin((2pi/106)t)+0e,10.2,-1.9,7.4,-5.1,2.2
61,[61]_concat sin + base: 100+66sin((2pi/93)t)+0e,10.2,-10.2,-7.4,-7.1,1.9
62,[62]_concat sin + base: 100+39sin((2pi/88)t)+0e,10.1,-14.4,2.1,-9.1,2.1
63,[63]_concat sin + base: 100+40sin((2pi/124)t)+0e,10.1,1.9,8.7,-7.1,2.2
64,[64]_concat sin + base: 100+55sin((2pi/118)t)+0e,10.1,-19.0,9.2,-9.1,2.2
65,[65]_concat sin + base: 100+67sin((2pi/140)t)+0e,10.1,5.1,6.6,-7.1,2.3
66,[66]_concat sin + base: 100+66sin((2pi/131)t)+0e,10.1,-17.2,-14.3,-9.1,2.2
67,[67]_concat sin + base: 100+27sin((2pi/104)t)+0e,10.1,2.3,0.4,-7.1,2.2
68,[68]_concat sin + base: 100+51sin((2pi/105)t)+0e,10.1,-16.7,-8.4,-9.1,2.1
69,[69]_concat sin + base: 100+73sin((2pi/87)t)+0e,10.1,-6.5,5.3,-7.8,2.2
70,[70]_concat sin + base: 100+24sin((2pi/103)t)+0e,10.1,-13.3,-10.8,-9.1,2.1
71,[71]_concat sin + base: 100+22sin((2pi/123)t)+0e,10.1,12.9,18.0,-7.8,2.2
72,[72]_concat sin + base: 100+44sin((2pi/110)t)+0e,10.1,3.2,11.1,-6.5,2.2
73,[73]_concat sin + base: 100+59sin((2pi/123)t)+0e,10.0,12.6,22.1,-5.8,2.3
74,[74]_concat sin + base: 100+57sin((2pi/149)t)+0e,10.0,13.0,13.1,-5.1,2.3
75,[75]_concat sin + base: 100+58sin((2pi/119)t)+0e,10.0,2.0,-1.1,-4.1,2.3
76,[76]_concat sin + base: 100+43sin((2pi/122)t)+0e,10.0,12.6,13.2,-3.1,2.3
77,[77]_concat sin + base: 100+78sin((2pi/126)t)+0e,10.0,-4.4,9.7,-3.7,2.5
78,[78]_concat sin + base: 100+55sin((2pi/87)t)+0e,10.0,7.3,28.8,-3.1,2.7
79,[79]_concat sin + base: 100+35sin((2pi/115)t)+0e,10.0,2.2,11.8,-3.0,3.7
80,[80]_concat sin + base: 100+48sin((2pi/121)t)+0e,10.0,14.4,6.7,-2.9,4.7
81,[81]_concat sin + base: 100+40sin((2pi/134)t)+0e,10.0,12.2,15.8,-2.8,4.7
82,[82]_concat sin + base: 100+51sin((2pi/153)t)+0e,10.0,3.2,12.2,-2.6,4.8
83,[83]_concat sin + base: 100+54sin((2pi/144)t)+0e,10.0,-5.7,7.2,-2.8,5.1
84,[84]_concat sin + base: 100+23sin((2pi/107)t)+0e,10.0,-18.6,14.2,-2.9,5.3
85,[85]_concat sin + base: 100+76sin((2pi/93)t)+0e,10.0,12.5,16.1,-2.8,5.3
86,[86]_concat sin + base: 100+55sin((2pi/80)t)+0e,10.0,10.4,17.8,-2.6,5.4
87,[87]_concat sin + base: 100+75sin((2pi/144)t)+0e,10.0,14.6,19.0,-2.3,5.8
88,[88]_concat sin + base: 100+76sin((2pi/130)t)+0e,10.0,-14.5,-13.4,-2.6,5.4
89,[89]_concat sin + base: 100+68sin((2pi/92)t)+0e,10.0,7.1,8.0,-2.3,5.8
90,[90]_concat sin + base: 100+28sin((2pi/112)t)+0e,10.0,5.0,-5.7,-1.9,5.4
91,[91]_concat sin + base: 100+49sin((2pi/80)t)+0e,10.0,7.0,11.9,-1.9,5.8
92,[92]_concat sin + base: 100+79sin((2pi/144)t)+0e,10.0,9.2,13.2,-1.8,6.2
93,[93]_concat sin + base: 100+29sin((2pi/86)t)+0e,10.0,-9.1,5.7,-1.9,5.9
94,[94]_concat sin + base: 100+46sin((2pi/102)t)+0e,10.0,-11.2,-4.8,-1.9,5.7
95,[95]_concat sin + base: 100+29sin((2pi/151)t)+0e,10.0,23.1,23.3,-1.9,5.9
96,[96]_concat sin + base: 100+77sin((2pi/87)t)+0e,10.0,3.6,5.5,-1.8,5.7
97,[97]_concat sin + base: 100+76sin((2pi/122)t)+0e,10.0,12.8,12.0,-1.2,5.9
98,[98]_concat sin + base: 100+62sin((2pi/149)t)+0e,10.0,15.9,36.7,-0.6,6.2
99,[99]_concat sin + base: 100+34sin((2pi/81)t)+0e,10.0,-3.2,-5.0,-1.2,5.9
100,[0]_concat sin + base: 100+50sin((2pi/88)t)+0e,10.0,13.9,16.4,-0.6,6.3
101,[1]_concat sin + base: 100+20sin((2pi/86)t)+0e,10.0,8.3,10.7,0.3,6.5
102,[2]_concat sin + base: 100+78sin((2pi/137)t)+0e,10.0,20.8,26.9,1.3,6.5
103,[3]_concat sin + base: 100+58sin((2pi/85)t)+0e,10.0,22.3,35.2,1.6,6.6
