episode,game,exploration,explored,safe,MA_explored,MA_safe
59,[59]_concat sin + base: 100+59sin((2pi/130)t)+0e,10.2,-4.1,24.5,2.0,13.6
60,[60]_concat sin + base: 100+52sin((2pi/106)t)+0e,10.2,7.8,11.3,2.1,13.6
61,[61]_concat sin + base: 100+66sin((2pi/93)t)+0e,10.2,-27.8,-18.5,2.0,12.9
62,[62]_concat sin + base: 100+39sin((2pi/88)t)+0e,10.1,3.7,19.4,2.1,13.6
63,[63]_concat sin + base: 100+40sin((2pi/124)t)+0e,10.1,14.2,29.5,2.2,13.6
64,[64]_concat sin + base: 100+55sin((2pi/118)t)+0e,10.1,4.1,20.6,2.3,13.6
65,[65]_concat sin + base: 100+67sin((2pi/140)t)+0e,10.1,5.8,8.0,2.5,13.6
66,[66]_concat sin + base: 100+66sin((2pi/131)t)+0e,10.1,-28.2,-5.3,2.3,13.6
67,[67]_concat sin + base: 100+27sin((2pi/104)t)+0e,10.1,-15.5,-4.3,2.2,12.9
68,[68]_concat sin + base: 100+51sin((2pi/105)t)+0e,10.1,7.3,24.0,2.3,13.6
69,[69]_concat sin + base: 100+73sin((2pi/87)t)+0e,10.1,7.6,30.0,2.5,13.6
70,[70]_concat sin + base: 100+24sin((2pi/103)t)+0e,10.1,15.1,24.7,2.7,13.6
71,[71]_concat sin + base: 100+22sin((2pi/123)t)+0e,10.1,23.3,3.5,3.0,13.6
72,[72]_concat sin + base: 100+44sin((2pi/110)t)+0e,10.1,18.7,27.5,3.2,13.6
73,[73]_concat sin + base: 100+59sin((2pi/123)t)+0e,10.0,6.2,11.6,3.5,13.6
74,[74]_concat sin + base: 100+57sin((2pi/149)t)+0e,10.0,15.3,26.7,3.7,13.6
75,[75]_concat sin + base: 100+58sin((2pi/119)t)+0e,10.0,4.4,13.8,3.9,13.7
76,[76]_concat sin + base: 100+43sin((2pi/122)t)+0e,10.0,6.7,3.6,4.0,13.6
77,[77]_concat sin + base: 100+78sin((2pi/126)t)+0e,10.0,19.9,22.9,4.0,13.7
78,[78]_concat sin + base: 100+55sin((2pi/87)t)+0e,10.0,25.4,31.7,4.1,13.8
79,[79]_concat sin + base: 100+35sin((2pi/115)t)+0e,10.0,10.4,12.0,4.2,13.7
80,[80]_concat sin + base: 100+48sin((2pi/121)t)+0e,10.0,8.6,31.7,4.4,13.8
81,[81]_concat sin + base: 100+40sin((2pi/134)t)+0e,10.0,-19.1,-2.0,4.2,13.7
82,[82]_concat sin + base: 100+51sin((2pi/153)t)+0e,10.0,-9.6,8.8,4.1,13.6
83,[83]_concat sin + base: 100+54sin((2pi/144)t)+0e,10.0,-1.7,11.4,4.0,13.6
84,[84]_concat sin + base: 100+23sin((2pi/107)t)+0e,10.0,-7.7,20.0,4.0,13.6
85,[85]_concat sin + base: 100+76sin((2pi/93)t)+0e,10.0,26.6,33.7,4.0,13.7
86,[86]_concat sin + base: 100+55sin((2pi/80)t)+0e,10.0,-2.0,11.5,4.0,13.6
87,[87]_concat sin + base: 100+75sin((2pi/144)t)+0e,10.0,7.7,14.8,4.0,13.7
88,[88]_concat sin + base: 100+76sin((2pi/130)t)+0e,10.0,2.6,16.3,4.0,13.8
89,[89]_concat sin + base: 100+68sin((2pi/92)t)+0e,10.0,2.1,1.0,3.9,13.7
90,[90]_concat sin + base: 100+28sin((2pi/112)t)+0e,10.0,0.1,-7.8,3.7,13.6
